Date,Open,High,Low,Close,Volume,Currency
1/4/10,30.25,30.95,30.25,30.9,105408,USD
1/5/10,31.15,32.5,31.05,31.47,210553,USD
1/6/10,32.9,33.4,31.81,33.15,367749,USD
1/7/10,33.9,34.35,33.9,34.22,416643,USD
1/8/10,34.55,34.85,34.4,34.82,441858,USD
1/11/10,34.75,34.9,34.65,34.75,234301,USD
1/12/10,35.7,35.7,35.29,35.4,1197418,USD
1/13/10,35.26,35.7,35.15,35.5,581334,USD
1/14/10,35.39,35.4,35.06,35.15,279195,USD
1/15/10,35,35.15,34.5,34.82,739832,USD
1/19/10,35.15,35.65,35.15,35.59,516616,USD
1/20/10,35.5,35.65,34.98,35.23,397448,USD
1/21/10,35.15,35.35,34.7,34.97,278792,USD
1/22/10,35.15,35.5,34.95,34.97,575612,USD
1/25/10,35.3,35.69,35.3,35.62,703866,USD
1/26/10,35.3,35.65,35.23,35.3,572115,USD
1/27/10,35.65,35.95,35.48,35.91,730247,USD
1/28/10,36.75,36.8,36.28,36.5,700423,USD
1/29/10,34.95,35.4,34.82,34.9,332209,USD
2/1/10,35.11,35.55,35.11,35.5,210643,USD
2/2/10,34.85,35.25,34.8,35.11,249887,USD
2/3/10,34.6,35,34.4,34.5,657073,USD
2/4/10,34.75,34.79,34.3,34.54,638602,USD
2/5/10,33.71,34,33.46,33.8,248553,USD
2/8/10,33.8,34.2,33.7,33.7,254514,USD
2/9/10,33.5,33.95,33.5,33.67,218620,USD
2/10/10,33.75,34.15,33.64,33.78,89751,USD
2/11/10,33.75,34.15,33.75,34.05,88686,USD
2/12/10,34.65,34.8,34.21,34.49,385607,USD
2/16/10,33.75,34.2,33.75,34.14,283925,USD
2/17/10,33.85,34.2,33.77,33.99,289504,USD
2/18/10,33.6,33.9,28.84,33.75,169630,USD
2/19/10,33.29,33.5,33.26,33.48,125239,USD
2/22/10,33.3,33.75,33.18,33.4,65299,USD
2/23/10,33.5,33.7,33.4,33.63,212533,USD
2/24/10,33.8,33.86,33.53,33.79,210702,USD
2/25/10,33.85,33.85,33.46,33.65,160763,USD
2/26/10,33.6,33.9,33.6,33.87,81477,USD
3/1/10,34.8,35.15,34.55,35.12,182848,USD
3/2/10,35.65,36.15,35.65,36.14,177544,USD
3/3/10,36.8,37.2,36.8,37.08,66013,USD
3/4/10,36.88,37.25,36.88,37.25,46928,USD
3/5/10,36.85,36.99,36.51,36.99,124140,USD
3/8/10,37.1,37.5,37.1,37.45,84323,USD
3/9/10,37.5,37.85,37.42,37.65,109837,USD
3/10/10,37.75,38.15,37.75,37.99,182076,USD
3/11/10,38.26,38.6,38.16,38.53,128993,USD
3/12/10,38.15,38.39,38.03,38.15,120177,USD
3/15/10,37.2,37.4,37.06,37.28,495302,USD
3/16/10,36.87,37.25,36.85,37.1,260428,USD
3/17/10,37.8,38.06,37.6,37.99,104506,USD
3/18/10,37.51,37.6,37.36,37.6,659997,USD
3/19/10,38.2,38.35,37.95,37.95,662600,USD
3/22/10,37.95,38.4,37.95,38.38,211371,USD
3/23/10,38.37,40.19,38.37,40.15,960074,USD
3/24/10,41.6,42.05,41.4,41.6,701925,USD
3/25/10,43.49,43.95,43.12,43.12,947665,USD
3/26/10,43.25,43.66,41.52,42.28,763264,USD
3/29/10,42.35,42.35,41.75,41.88,711409,USD
3/30/10,42.6,42.7,42.4,42.57,199915,USD
3/31/10,42.25,42.25,41.65,41.65,171311,USD
4/1/10,42.55,42.9,42.5,42.6,179815,USD
4/5/10,43.4,43.75,43.15,43.25,532005,USD
4/6/10,43.2,43.42,42.92,43.42,347945,USD
4/7/10,42.4,42.4,41.84,41.86,188141,USD
4/8/10,41.34,41.34,40.85,41,296457,USD
4/9/10,40.65,41,40.48,40.89,241207,USD
4/12/10,42.35,42.35,42,42.28,110948,USD
4/13/10,42.3,42.3,41.94,42.15,128876,USD
4/14/10,42.5,42.95,42.4,42.92,80794,USD
4/15/10,42.65,42.65,42.3,42.4,59911,USD
4/16/10,42.05,42.38,41.57,41.7,166272,USD
4/19/10,41.75,41.94,41.5,41.94,38335,USD
4/20/10,40.9,41.25,40.9,41.16,65970,USD
4/21/10,41.65,42,41.65,41.82,78989,USD
4/22/10,41,41.5,40.84,41.22,55148,USD
4/23/10,41.25,41.8,41.25,41.73,201168,USD
4/26/10,42.05,42.09,41.85,41.95,328073,USD
4/27/10,41.9,42.3,41.65,41.7,593874,USD
4/28/10,41.6,41.8,41.45,41.5,104336,USD
4/29/10,41.65,42.25,41.65,41.96,185940,USD
4/30/10,41.9,42.01,41.85,41.9,43076,USD
5/3/10,41.85,42.5,41.85,42.5,45288,USD
5/4/10,42.3,42.3,41.25,41.33,303731,USD
5/5/10,41.25,41.3,40.6,40.81,279408,USD
5/6/10,40.8,40.8,39.15,39.8,642415,USD
5/7/10,38,38.33,37.51,37.75,819115,USD
5/10/10,38.75,39.47,38.66,39,91669,USD
5/11/10,36.7,37.09,36.37,36.55,309770,USD
5/12/10,36.22,36.85,36.04,36.75,537704,USD
5/13/10,37.4,37.45,36.74,37.09,158940,USD
5/14/10,36.4,36.76,35.48,35.8,308060,USD
5/17/10,35.33,35.58,35.03,35.49,149156,USD
5/18/10,35.08,35.45,34.75,34.85,269478,USD
5/19/10,36.35,36.67,36.05,36.42,345514,USD
5/20/10,35.35,35.9,35,35.65,634434,USD
5/21/10,35.75,36.5,35.75,36.2,524821,USD
5/24/10,36.8,36.85,36.36,36.45,234393,USD
5/25/10,35.37,36.5,35.31,35.45,418226,USD
5/26/10,35.3,35.99,35.3,35.65,144394,USD
5/27/10,35.9,36.75,35.9,36.6,52218,USD
5/28/10,36.65,36.86,36.35,36.45,36799,USD
6/1/10,36.9,37.35,36.7,37,68872,USD
6/2/10,35.85,36.32,35.7,36.3,75466,USD
6/3/10,36.1,36.15,35.7,35.72,72722,USD
6/4/10,35.56,35.75,35,35,111632,USD
6/7/10,35.05,35.24,34.77,34.8,45307,USD
6/8/10,34.7,34.7,34.45,34.51,306638,USD
6/9/10,33.2,33.5,33,33.13,274874,USD
6/10/10,33.4,33.88,33.08,33.66,259968,USD
6/11/10,33.05,33.37,33.05,33.35,106595,USD
6/14/10,33.2,33.6,33.2,33.37,122855,USD
6/15/10,34.8,35.54,34.31,35.5,299016,USD
6/16/10,36.06,37.8,36.06,37.01,446571,USD
6/17/10,37.7,38.25,37.65,38.05,229355,USD
6/18/10,39.3,39.42,38.56,39.26,221935,USD
6/21/10,40.5,40.5,39.3,39.51,379035,USD
6/22/10,39,39,38.35,38.5,68886,USD
6/23/10,37.3,37.93,37.3,37.4,78975,USD
6/24/10,37.2,37.65,37.11,37.3,374615,USD
6/25/10,37.2,37.3,37.05,37.05,50966,USD
6/28/10,36.4,36.66,36.24,36.4,72804,USD
6/29/10,36.21,36.32,33.08,36.19,61748,USD
6/30/10,37.12,37.36,36.75,37.27,113295,USD
7/1/10,37.27,37.69,37,37.69,282324,USD
7/2/10,37.75,38.05,37.61,37.74,78125,USD
7/6/10,37.8,38.35,37.65,37.75,106269,USD
7/7/10,37.85,38.54,37.85,38.54,90517,USD
7/8/10,37.65,38.04,37.57,38.04,48215,USD
7/9/10,36.6,37.19,36.6,36.95,64753,USD
7/12/10,36.19,36.2,36.05,36.06,92788,USD
7/13/10,37.09,37.47,36.84,37.35,74409,USD
7/14/10,36.5,36.75,36.4,36.5,40814,USD
7/15/10,35.75,35.89,35.36,35.45,134921,USD
7/16/10,35.25,35.35,34.68,34.76,161986,USD
7/19/10,34.87,34.87,34.66,34.8,38036,USD
7/20/10,34.38,34.95,34.38,34.86,67129,USD
7/21/10,34.75,35.2,33.46,34.43,258163,USD
7/22/10,34.8,35.25,34.8,35.12,55769,USD
7/23/10,34.9,35.35,34.9,35.35,30427,USD
7/26/10,35,35.34,35,35.21,97011,USD
7/27/10,34.85,34.92,34.56,34.8,95883,USD
7/28/10,35.35,35.45,35.22,35.45,148148,USD
7/29/10,35,35.19,33.99,34.06,56503,USD
7/30/10,34.4,35.5,34.4,35.21,139628,USD
8/2/10,35.2,35.48,34.81,35.43,125852,USD
8/3/10,35,35.35,34.83,34.9,226478,USD
8/4/10,34.55,34.75,34.22,34.65,226770,USD
8/5/10,34.6,34.99,34.6,34.71,42846,USD
8/6/10,34.75,34.95,34.71,34.83,37486,USD
8/9/10,34.7,35.19,34.7,35.19,26025,USD
8/10/10,34.4,35.13,34.36,34.99,51463,USD
8/11/10,34.05,34.1,33.4,33.4,79779,USD
8/12/10,32.5,32.79,32.24,32.65,54712,USD
8/13/10,32.45,33.04,32.45,32.68,11340,USD
8/16/10,32.45,33,32.45,32.86,94587,USD
8/17/10,32.7,33.2,32.7,32.97,83797,USD
8/18/10,33.91,34.35,33.83,34.25,79842,USD
8/19/10,34.36,34.83,33.95,34.36,56522,USD
8/20/10,34,34.35,33.9,34.17,75303,USD
8/23/10,34.25,34.75,34.25,34.54,49523,USD
8/24/10,34.07,34.52,34.06,34.2,68880,USD
8/25/10,34.1,34.8,34.06,34.78,124910,USD
8/26/10,34.7,34.86,34.37,34.37,45057,USD
8/27/10,34.31,34.85,34.31,34.75,53586,USD
8/30/10,34.75,35,34.67,34.82,110172,USD
8/31/10,34.23,34.85,34.22,34.75,103869,USD
9/1/10,34.85,35.43,34.85,35.35,128914,USD
9/2/10,34.75,34.86,34.4,34.86,52235,USD
9/3/10,34.52,34.84,34.52,34.65,14744,USD
9/7/10,34.4,34.64,34.38,34.5,122666,USD
9/8/10,34.25,34.85,34.25,34.7,150247,USD
9/9/10,34.41,34.75,34.41,34.42,48117,USD
9/10/10,34.1,34.5,34.1,34.45,36132,USD
9/13/10,34.45,34.64,34.4,34.62,76184,USD
9/14/10,34.26,34.95,34.26,34.86,40923,USD
9/15/10,34.55,34.95,34.45,34.95,224171,USD
9/16/10,34.3,34.6,34.3,34.59,64548,USD
9/17/10,34,34,33.64,33.72,106583,USD
9/20/10,33.87,34.55,33.87,34.45,65014,USD
9/21/10,34.15,35.08,34.15,34.57,73514,USD
9/22/10,34.75,35.15,34.71,34.85,212161,USD
9/23/10,34.85,34.95,34.68,34.75,143963,USD
